Class,TIME,workload,lab,prereq
COMP 140,13:00-14:15/24,3.64,none,none
COMP 215,09:00-09:50/135,4.12,"18:00	-18:50/135/16:00-16:50/133",none
COMP 310,13:00-13:50/135,4.21,13:00-14:15/2/14:30-15:45/0,none
COMP 311,"16:00	-17:15/24",4.07,NONE,none
COMP 326,"10:50	-12:05/24",3.23,NONE,none
COMP 330,10:00-10:50/135,3.13,NONE,none
COMP 340,"10:00	-10:50/135",3.52,NONE,none
COMP 380,09:25-10:40/24,3.72,NONE,none
COMP 382,10:50-12:05/24,3.84,16:00-17:15/4/17:30-18:45/2,none
COMP 409,09:25-10:40/24,3.89,NONE,none
COMP 412,"11:00	-11:50/135",3.59,NONE,none
COMP 413,"15:00	-15:50/135",3.43,NONE,none
COMP 420,13:00-13:50/135,3.15,NONE,none
COMP 422,"13:00	-14:15/24",3.21,NONE,none
COMP 424,"10:50	-12:05/24",4.33,NONE,none
COMP 425,08:00-09:15/24,1.79,NONE,none
COMP 430,14:00-14:50/135,2.59,none,none
COMP 431,14:30-15:45/24,3.96,NONE,none
COMP 436,"14:30	-15:45/35",3,NONE,none
COMP 440,09:25-10:40/24,4.22,NONE,none
COMP 448,"14:00	-14:50/24",3,NONE,none
COMP 450,13:00-14:15/24,4.3,NONE,none
COMP 485,"16:00	-18:59/4",2.5,NONE,none
CAAM 335,14:00-14:50/135,3.7,11:00-11:50/135,none
ELEC 303,09:25-10:40/24,4.03,none,none
MATH 101,11:00-11:50/135,3.42,09:00-09:50/135/10:00-10:50/135,none
MATH 102,11:00-11:50/135,3.08,09:00-09:50/135/14:00-14:50/135,none
MATH 211,11:00-11:50/135,3.5,09:00-09:50/135/9:25-10:40/135/14:00-14:50/135,none
MATH 212,11:00-11:50/135,3.51,10:00-10:50/135/09:00-09:50/135,none
MATH 221,11:00-11:50/135,3.22,none,none
MATH 354,14:00-14:50/135,3.81,none,none
MATH 355,14:00-14:50/135,2.96,none,none
PHYS 101,09:00-09:50/13,3.86,10:00-10:50/13/08:25-09:15/4/09:25-10:15/4/16:00-16:50/4/09:00-09:50/5/10:00-10:50/5/14:00-14:50/5/15:00-15:50/5/16:00-16:50/5/19:00-19:50/4/09:25-10:15/4/16:00-16:50/4,none
PHYS 111,10:00-10:50/135,3.64,none,none
PHYS 125,09:25-10:40/24,3.57,none,none
STAT 310,13:00-14:15/24,2.88,none,none
